"X1"	"Sample"	"Time [h]"	"Lignin [g/l]"	"Volume [L]"	"Lignin [g]"	"concentration"
"1"	1	"NL"	0	-0.147926509186352	2.037	-0.301326299212598	0
"2"	1	"0"	0	0.00745406824146987	2.014	0.0150124934383203	0
"3"	1	"1"	2	0.120839895013123	1.99	0.240471391076115	0
"4"	1	"2"	4	-0.123779527559055	1.979	-0.24495968503937	0
"5"	1	"3"	6	-0.120629921259843	2.01	-0.242466141732283	0
"6"	1	"4"	8	-0.210918635170604	2.039	-0.430063097112861	0
"7"	1	"5"	10	-0.20251968503937	2.054	-0.415975433070866	0
"8"	1	"6"	19	0.0672965879265093	2.036	0.137015853018373	0
"9"	1	"7"	24	0.0441994750656168	2.014	0.0890177427821523	0
"10"	1	"8"	26	0.0840944881889764	1.99	0.167348031496063	0
"11"	1	"9"	28	-0.122729658792651	1.967	-0.241409238845144	0
"12"	1	"10"	30	-0.0786351706036744	1.943	-0.152788136482939	0
"13"	1	"11"	32	-0.196220472440945	1.919	-0.376547086614173	0
"14"	1	"12"	43	-0.043989501312336	1.9	-0.0835800524934384	0
"15"	1	"13"	48	0.041049868766404	1.878	0.0770916535433068	0
"16"	2	"0"	0	0.718215223097113	2.038	1.46372262467192	0.625
"17"	2	"0"	0	0.654173228346457	2.016	1.31881322834646	0.625
"18"	2	"1"	2	0.736062992125985	1.991	1.46550141732284	0.625
"19"	2	"2"	4	0.647874015748031	1.968	1.27501606299213	0.625
"20"	2	"3"	6	0.500892388451444	1.97	0.986758005249344	0.625
"21"	2	"0"	8	0.0945931758530184	2.014	0.190510656167979	0.625
"22"	2	"5"	10	0.0494488188976378	2.046	0.101172283464567	0.625
"23"	2	"6"	19	0.165984251968504	2.036	0.337943937007874	0.625
"24"	2	"7"	24	0.135538057742782	2.016	0.273244724409449	0.625
"25"	2	"8"	26	0.382257217847769	1.993	0.761838635170604	0.625
"26"	2	"9"	28	0.23002624671916	1.97	0.453151706036745	0.625
"27"	2	"10"	30	0.134488188976378	1.946	0.261714015748032	0.625
"28"	2	"11"	32	0.29511811023622	1.922	0.567217007874015	0.625
"29"	2	"12"	43	0.0777952755905512	1.9	0.147811023622047	0.625
"30"	2	"13"	48	0.233175853018373	1.876	0.437437900262468	0.625
"31"	3	"NL"	0	1.2389501312336	2.037	2.52374141732283	1.25
"32"	3	"0"	0	1.08356955380577	2.014	2.18230908136483	1.25
"33"	3	"1"	2	1.4153280839895	1.989	2.81508755905512	1.25
"34"	3	"2"	4	1.26834645669291	1.965	2.49230078740158	1.25
"35"	3	"3"	6	1.09931758530184	1.949	2.14256997375328	1.25
"36"	3	"4"	8	0.64262467191601	1.972	1.26725585301837	1.25
"37"	3	"5"	10	0.572283464566929	2.008	1.14914519685039	1.25
"38"	3	"6"	19	0.560734908136483	2.031	1.1388525984252	1.25
"39"	3	"7"	24	0.575433070866142	2.008	1.15546960629921	1.25
"40"	3	"8"	26	0.645774278215223	1.984	1.281216167979	1.25
"41"	3	"9"	28	0.470446194225722	1.96	0.922074540682415	1.25
"42"	3	"10"	30	0.562834645669291	1.935	1.08908503937008	1.25
"43"	3	"11"	32	0.500892388451444	1.911	0.957205354330709	1.25
"44"	3	"12"	43	0.484094488188977	1.888	0.913970393700788	1.25
"45"	3	"13"	48	0.606929133858268	1.864	1.13131590551181	1.25
"46"	4	"NL"	0	2.34866141732283	2.038	4.78657196850394	2.5
"47"	4	"0"	0	1.86362204724409	2.016	3.75706204724409	2.5
"48"	4	"1"	2	2.089343832021	1.992	4.16197291338583	2.5
"49"	4	"2"	4	2.0641469816273	1.967	4.06017711286089	2.5
"50"	4	"3"	6	2.11874015748032	1.944	4.11883086614173	2.5
"51"	4	"4"	8	2.20272965879265	1.925	4.24025459317585	2.5
"52"	4	"5"	11	1.59800524934383	1.956	3.12569826771654	2.5
"53"	4	"6"	19	0.884094488188976	2.032	1.79648	2.5
"54"	4	"7"	24	0.972283464566929	2.011	1.95526204724409	2.5
"55"	4	"8"	26	1.12031496062992	1.987	2.22606582677165	2.5
"56"	4	"9"	28	1.17385826771654	1.964	2.30545763779528	2.5
"57"	4	"10"	30	0.946036745406824	1.94	1.83531128608924	2.5
"58"	4	"11"	32	0.948136482939632	1.916	1.81662950131234	2.5
"59"	4	"12"	43	1.22215223097113	1.9	2.32208923884515	2.5
"60"	4	"13"	48	1.29459317585302	1.878	2.43124598425197	2.5
"61"	4	"14"	50	0.991181102362205	1.855	1.83864094488189	2.5
